X,Y,Z,code
49.8196,40.3204,5154,031
48.9362,39.9538,6586,031
48.9279,39.9454,5123,031
48.9112,39.9371,6577,031
48.9196,39.9371,6591,031
48.9279,39.9371,6634,031
48.9196,39.9288,5087,031
48.9279,39.9288,5065,031
46.6862,39.8121,6409,031
46.6946,39.8121,5973,031
46.7029,39.8121,5112,031
46.6779,39.8038,6043,031
46.6862,39.8038,7577,031
46.6946,39.8038,5002,031
46.6862,39.7954,5011,031
45.3946,39.2121,5113,031
45.3862,39.2038,5093,031
45.4029,39.2038,8321,031
45.3862,39.1954,9924,031
45.3779,39.1871,7532,031
45.3862,39.1871,9380,031
45.3946,39.1871,9586,031
45.4029,39.1788,6252,031
45.4112,39.1788,9188,031
16.3862,48.2954,6362,040
16.4196,48.2954,5366,040
16.3779,48.2871,5533,040
16.3862,48.2871,6635,040
16.4112,48.2871,5595,040
16.4196,48.2871,6293,040
16.3779,48.2787,5512,040
16.3862,48.2787,7170,040
16.3946,48.2787,6014,040
16.4029,48.2787,7136,040
16.4112,48.2787,7980,040
16.4196,48.2787,8192,040
16.4279,48.2787,6108,040
16.4446,48.2787,6748,040
16.4529,48.2787,6246,040
16.3779,48.2704,5226,040
16.3862,48.2704,7171,040
16.3946,48.2704,8270,040
16.4029,48.2704,8269,040
16.4112,48.2704,8351,040
16.4196,48.2704,8068,040
16.4279,48.2704,6169,040
16.4362,48.2704,7340,040
16.4446,48.2704,8143,040
16.4529,48.2704,6270,040
16.3862,48.2621,7064,040
16.3946,48.2621,7981,040
16.4029,48.2621,8248,040
16.4112,48.2621,8408,040
16.4196,48.2621,8068,040
16.4279,48.2621,6266,040
16.4362,48.2621,7540,040
16.4446,48.2621,8248,040
16.4529,48.2621,8039,040
16.4612,48.2621,7611,040
16.4696,48.2621,7750,040
16.4779,48.2621,6788,040
16.3362,48.2537,5723,040
16.3446,48.2537,5611,040
16.3529,48.2537,6475,040
16.3612,48.2537,7186,040
16.3696,48.2537,7213,040
16.3862,48.2537,5093,040
16.3946,48.2537,5705,040
16.4029,48.2537,7027,040
16.4112,48.2537,8337,040
16.4196,48.2537,7947,040
16.4279,48.2537,7357,040
16.4362,48.2537,8095,040
16.4446,48.2537,8287,040
16.4529,48.2537,8183,040
16.4612,48.2537,8330,040
16.4696,48.2537,6512,040
16.4862,48.2537,5979,040
16.4946,48.2537,5346,040
16.3029,48.2454,5100,040
16.3112,48.2454,5836,040
16.3196,48.2454,6421,040
16.3279,48.2454,6940,040
16.3362,48.2454,6964,040
16.3446,48.2454,7295,040
16.3529,48.2454,7080,040
16.3612,48.2454,7689,040
16.3696,48.2454,7435,040
16.3779,48.2454,7283,040
16.4029,48.2454,6189,040
16.4196,48.2454,5068,040
16.4279,48.2454,8040,040
16.4362,48.2454,8424,040
16.4446,48.2454,8465,040
16.4529,48.2454,8061,040
16.4612,48.2454,5888,040
16.4696,48.2454,5320,040
16.4779,48.2454,5564,040
16.4862,48.2454,5154,040
16.3029,48.2371,5046,040
16.3112,48.2371,6541,040
16.3196,48.2371,7666,040
16.3279,48.2371,7822,040
16.3362,48.2371,7508,040
16.3446,48.2371,8137,040
16.3529,48.2371,7706,040
16.3612,48.2371,7610,040
16.3696,48.2371,7751,040
16.3779,48.2371,8013,040
16.3862,48.2371,7672,040
16.4112,48.2371,5168,040
16.4196,48.2371,6998,040
16.4362,48.2371,8040,040
16.4446,48.2371,8241,040
16.4529,48.2371,8152,040
16.4612,48.2371,6371,040
16.4696,48.2371,6940,040
16.4779,48.2371,7122,040
16.4862,48.2371,6067,040
16.2862,48.2287,5523,040
16.2946,48.2287,6873,040
16.3029,48.2287,6384,040
16.3112,48.2287,7844,040
16.3196,48.2287,7836,040
16.3279,48.2287,8113,040
16.3362,48.2287,8059,040
16.3446,48.2287,7976,040
16.3529,48.2287,7730,040
16.3612,48.2287,7713,040
16.3696,48.2287,6817,040
16.3779,48.2287,5655,040
16.3862,48.2287,8031,040
